Date,Steps ,Calories,Water,Sleep (hrs),Weight (Kg),Weekly weight change (Kg)
11/19/2025,3406,1272,8,7,98,
11/20/2025,593,1434,6,8,,
11/21/2025,5601,1756,7,7,,
11/22/2025,7060,1068,8,6,,
11/23/2025,4910,2165,7,8,,
11/24/2025,675,865,6,8,,
11/25/2025,6287,2037,8,6,,
11/26/2025,3599,2168,6,8,97.5,-0.5
11/27/2025,11526,1098,9,7.5,,
11/28/2025,7053,1686,7,7,,
11/29/2025,3259,1447,8,9,,
11/30/2025,10242,1207,8,8,,
12/1/2025,5110,1457,7,7,,
12/2/2025,8790,2140,8,6.5,,
12/3/2025,8117,1731,7,8.5,96.5,-1
12/4/2025,14350,1789,10,5,,
12/5/2025,6742,1484,8,8,,
12/6/2025,2944,1631,7,7,,
12/7/2025,1146,1877,7,6,,
12/8/2025,7303,1509,8,7,,
12/9/2025,6050,1647,6,6,,
12/10/2025,9561,1499,6,8,96.7,0.2
12/11/2025,12561,1915,8,8,,
12/12/2025,11469,1928,7,7,,
12/13/2025,2774,3028,9,6,,
12/14/2025,11266,710,7,8,,
12/15/2025,10183,2327,8,7,,
12/16/2025,6525,1648,5,8,,
12/17/2025,7706,1989,6,7,97,0.3
12/18/2025,11166,1672,7,8,,
12/19/2025,2228,2105,4,6,,
12/20/2025,11384,1946,6,7,,
12/21/2025,2763,1046,6,6,,
12/22/2025,12114,1469,8,7,,
12/23/2025,12056,1181,4,6,,
12/24/2025,6153,1868,6,6,97.4,0.4
12/25/2025,5790,1983,6,8,,
12/26/2025,12135,1229,8,7,,
12/27/2025,11355,936,4,4,,
12/28/2025,7216,1619,7,6,,
12/29/2025,10661,1789,7,8,,
12/30/2025,7911,1797,8,6,,
12/31/2025,5601,2111,6,8,97,-0.4
1/1/2026,2641,1412,8,6,,
1/2/2026,3002,1847,5,8,,
1/3/2025,854,941,7,7,,
1/4/2025,2683,1637,6,4,,
1/5/2025,6302,1960,8,8,,
1/6/2025,5186,1188,5,5,,
1/7/2025,2475,1482,5,4,97.7,0.7
1/8/2025,7971,2249,7,3,,
1/9/2025,2890,1009,5,8,,
1/10/2025,3569,1047,6,6,,
1/11/2025,1776,1388,5,7,,
1/12/2025,1153,1850,6,7,,
